En,Ru
bar,бар
Beth,Бет
pass,проходить
keeping,сохранение
gift,подарок
hadn't,не имел
putting,положить
dark,темный
self,себя
owe,быть должным
using,с использованием
Nora,Нора
ice,лед
helping,помощь
bitch,сука
aunt,тетя
lawyer,адвокат
apart,отдельно
certain,определенный
plans,планы
Jax,Джакс
girlfriend,подруга
floor,пол
whether,ли
everything 's,все есть
present,подарок
earth,земля
private,частный
Jessica,Джессика
box,коробка
Dawson,Доусон
cover,крышка
judge,судить
upstairs,наверху
Alexis,Алексис
sake,ради
mommy,мама
possibly,возможно
worst,худший
